CompanyName,Sector,Category,Last Price,NAV,P/E,EPS,Paid up,Dir,Pub,Inst,Foreign,Govt
NBL,Bank,A,7.8,16.92,6.61,1.18,30664.2,30.98,47.14,20.73,1.15,0
NRBCBANK,Bank,N,27.7,16.88,11.69,2.37,0,73.32,23.22,3.46,0,0
ABBANK,Bank,B,13.9,32.26,27.8,0.5,7960.37,31.67,41.43,25.44,0.89,0.57
IFIC,Bank,A,13.1,17.18,18.71,0.7,16198.7,4.11,39.55,22.87,0.72,32.75
RUPALIBANK,Bank,A,31.9,44.1,65.1,0.49,4141.69,0,4.98,4.83,0,90.19
EXIMBANK,Bank,A,11.6,21.66,5.83,1.99,14122.5,37.95,34.57,25.95,1.54,0
DHAKABANK,Bank,A,14.3,21.69,6.44,2.22,8532.12,40.12,45.99,12.89,0,0
JAMUNABANK,Bank,A,21.3,32.06,6.02,3.54,7492.26,47.94,45.03,6.68,0.35,0
PREMIERBAN,Bank,A,13.1,21.02,6.15,2.13,10430.7,35.33,43.33,19.75,1.59,0
STANDBANKL,Bank,A,9.1,16.67,8.43,1.08,10059.9,39.49,37.35,22.69,0.47,0
MERCANBANK,Bank,A,14.5,22.61,6.42,2.26,10332.2,37.69,34.71,23.52,4.08,0
SOUTHEASTB,Bank,A,16.3,24.98,9.01,1.81,11889.4,30.18,32.75,35.86,1.21,0
FIRSTSBANK,Bank,A,10.6,18.91,3.62,2.93,9487.6,33.34,43.97,20.35,2.34,0
MTB,Bank,A,21.4,23.03,16.34,1.31,7386.32,43.97,31.67,24.2,0.16,0
NCCBANK,Bank,A,14.7,22.15,6.23,2.36,9459.26,37.58,40.79,21.08,0.55,0
PRIMEBANK,Bank,A,22.3,25.15,13.85,1.61,11322.8,39.02,27.03,33.46,0.49,0
CITYBANK,Bank,A,26.7,29.03,6.08,4.39,10163.9,32.88,42.05,21.63,3.44,0
BRACBANK,Bank,A,50.5,36.63,15.17,3.33,13258.8,46.24,5.88,9.89,37.99,0
ALARABANK,Bank,A,22.4,22.35,9.29,2.41,10649,41.87,36.3,21.08,0.75,0
DUTCHBANGL,Bank,A,84.1,58.65,8.41,10,6325,86.99,8.48,4.52,0.01,0
UCB,Bank,A,16,29.35,6.61,2.42,12175.2,36.67,41.35,20.01,1.16,0.81
PUBALIBANK,Bank,A,24.4,37.63,6.78,3.6,10282.9,31.49,41.09,27,0.42,0
ONEBANKLTD,Bank,A,13,19.31,8.28,1.57,8853.46,32.06,39.06,28.49,0.39,0
UTTARABANK,Bank,A,23.5,34.79,5.49,4.28,5019.41,30.54,46.02,23.04,0.4,0
